id,region,classification,surfaceArea,surfaceAreaPercent,decision,reason,processingStrategy,possibleNarrowBridges,finalComponentIds
PaintIsland_000,hood,large,2.5446507007109176,14.968036075018913,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 6, ""width"": 0.01621691857509173, ""aspectRatio"": 20.488461253204544}, {""face"": 36, ""width"": 0.010425045936951061, ""aspectRatio"": 14.407021193830582}, {""face"": 37, ""width"": 0.010425045936951061, ""aspectRatio"": 14.478580032573722}, {""face"": 38, ""width"": 0.009962051507683235, ""aspectRatio"": 15.072069304473134}, {""face"": 40, ""width"": 0.009962051507683235, ""aspectRatio"": 33.90806267202799}, {""face"": 42, ""width"": 0.00908524328222741, ""aspectRatio"": 37.18049768962024}, {""face"": 44, ""width"": 0.015934638453590038, ""aspectRatio"": 20.99993596329487}, {""face"": 54, ""width"": 0.009771949938228787, ""aspectRatio"": 16.23552839290406}, {""face"": 57, ""width"": 0.009678635386915116, ""aspectRatio"": 16.358093418974097}, {""face"": 58, ""width"": 0.009678635386915116, ""aspectRatio"": 16.397613350236167}, {""face"": 59, ""width"": 0.009771928717794946, ""aspectRatio"": 16.198754411114052}, {""face"": 60, ""width"": 0.009771928717794946, ""aspectRatio"": 16.199971274085037}, {""face"": 61, ""width"": 0.004455116388868356, ""aspectRatio"": 35.53981538297199}, {""face"": 119, ""width"": 0.009678635386915116, ""aspectRatio"": 10.560094345823279}, {""face"": 120, ""width"": 0.009771962689081343, ""aspectRatio"": 10.459239978356475}, {""face"": 121, ""width"": 0.009678635386915116, ""aspectRatio"": 17.19169323174905}, {""face"": 122, ""width"": 0.009771949938228787, ""aspectRatio"": 17.020642036467724}, {""face"": 139, ""width"": 0.006975126683568155, ""aspectRatio"": 52.541705384167635}, {""face"": 140, ""width"": 0.0072056062316783725, ""aspectRatio"": 50.719873145880584}, {""face"": 142, ""width"": 0.0072056062316783725, ""aspectRatio"": 21.181227122240575}, {""face"": 143, ""width"": 0.007180361465817291, ""aspectRatio"": 21.207313870749317}, {""face"": 145, ""width"": 0.007180361465817291, ""aspectRatio"": 22.627844026811715}, {""face"": 146, ""width"": 0.007180367241900153, ""aspectRatio"": 22.62784179027373}, {""face"": 148, ""width"": 0.007180367241900153, ""aspectRatio"": 42.80011148168112}, {""face"": 149, ""width"": 0.007180373019957493, ""aspectRatio"": 42.80009392227061}, {""face"": 151, ""width"": 0.007180373019957493, ""aspectRatio"": 28.8752910852193}, {""face"": 152, ""width"": 0.007180361465817291, ""aspectRatio"": 28.87533754933718}, {""face"": 154, ""width"": 0.007180361465817291, ""aspectRatio"": 14.471929577605712}, {""face"": 155, ""width"": 0.007180361465817291, ""aspectRatio"": 14.471929577605712}, {""face"": 157, ""width"": 0.007180361465817291, ""aspectRatio"": 12.508196919142184}, {""face"": 158, ""width"": 0.007404466472614914, ""aspectRatio"": 12.129621424748672}, {""face"": 160, ""width"": 0.007404466472614914, ""aspectRatio"": 11.79834020475284}]","[""PaintIsland_000_A""]"
PaintIsland_001,rear,large,1.5163955528387305,8.919677397195304,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 35, ""width"": 0.0066098258153179405, ""aspectRatio"": 19.2805414861167}, {""face"": 38, ""width"": 0.0066098258153179405, ""aspectRatio"": 13.118924484105213}, {""face"": 39, ""width"": 0.007305531314156032, ""aspectRatio"": 13.815451601878117}, {""face"": 41, ""width"": 0.006914056580153385, ""aspectRatio"": 14.720742939922385}, {""face"": 43, ""width"": 0.006600719666939419, ""aspectRatio"": 13.137022945931614}, {""face"": 46, ""width"": 0.006628257006812452, ""aspectRatio"": 13.06347700697311}, {""face"": 51, ""width"": 0.006025653151952341, ""aspectRatio"": 13.041649634598928}, {""face"": 70, ""width"": 0.01105621481195785, ""aspectRatio"": 17.370861544062688}, {""face"": 71, ""width"": 0.007095497203882691, ""aspectRatio"": 15.338361462733502}, {""face"": 72, ""width"": 0.007469497134754213, ""aspectRatio"": 14.570365167500501}, {""face"": 74, ""width"": 0.007469497134754213, ""aspectRatio"": 16.108475932193112}, {""face"": 75, ""width"": 0.007171970978240229, ""aspectRatio"": 16.776729184464276}, {""face"": 77, ""width"": 0.007171970978240229, ""aspectRatio"": 16.934170963047364}, {""face"": 78, ""width"": 0.007146517444547416, ""aspectRatio"": 16.99448488441009}, {""face"": 80, ""width"": 0.007146517444547416, ""aspectRatio"": 16.96839265728018}, {""face"": 81, ""width"": 0.00714656096871751, ""aspectRatio"": 16.968289315937195}, {""face"": 83, ""width"": 0.00714656096871751, ""aspectRatio"": 16.61962817141625}, {""face"": 84, ""width"": 0.007146517444547416, ""aspectRatio"": 16.619729389321197}, {""face"": 86, ""width"": 0.007146517444547416, ""aspectRatio"": 22.172893601016842}, {""face"": 88, ""width"": 0.009559053455308998, ""aspectRatio"": 17.231224867895875}, {""face"": 97, ""width"": 0.0072725295893885655, ""aspectRatio"": 17.249200987707322}, {""face"": 99, ""width"": 0.007239205360761296, ""aspectRatio"": 17.328604221723552}, {""face"": 100, ""width"": 0.007239205360761296, ""aspectRatio"": 17.87881197699197}, {""face"": 101, ""width"": 0.007052861713621269, ""aspectRatio"": 18.298472157549543}, {""face"": 103, ""width"": 0.007052861713621269, ""aspectRatio"": 15.537993990809841}, {""face"": 106, ""width"": 0.0072388156317277, ""aspectRatio"": 14.824581032800708}, {""face"": 108, ""width"": 0.0072388156317277, ""aspectRatio"": 14.878855625763572}, {""face"": 110, ""width"": 0.006754707146913071, ""aspectRatio"": 15.94522017660214}, {""face"": 111, ""width"": 0.006754707146913071, ""aspectRatio"": 17.834475895305214}, {""face"": 112, ""width"": 0.007044275362199198, ""aspectRatio"": 17.10135615054346}, {""face"": 114, ""width"": 0.007044275362199198, ""aspectRatio"": 17.052015217020756}, {""face"": 116, ""width"": 0.006754707146913071, ""aspectRatio"": 17.783019760375556}]","[""PaintIsland_001_A""]"
PaintIsland_002,rightFenders,large,1.1913563489279113,7.007745622601116,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 0, ""width"": 0.00880779837159269, ""aspectRatio"": 14.712789702216408}, {""face"": 4, ""width"": 0.00869727134377801, ""aspectRatio"": 17.867977274536315}, {""face"": 30, ""width"": 0.014381757417828343, ""aspectRatio"": 10.559596707248929}, {""face"": 52, ""width"": 0.004535924504826835, ""aspectRatio"": 14.238711011892372}, {""face"": 62, ""width"": 0.004535924504826835, ""aspectRatio"": 12.309002587260505}, {""face"": 98, ""width"": 0.00496887298709716, ""aspectRatio"": 23.875177056642666}, {""face"": 108, ""width"": 0.00952086118040277, ""aspectRatio"": 20.0096007257676}, {""face"": 109, ""width"": 0.0163359741616328, ""aspectRatio"": 12.266580221110392}, {""face"": 111, ""width"": 0.010100677072780258, ""aspectRatio"": 23.15832637855221}, {""face"": 112, ""width"": 0.010784626165203554, ""aspectRatio"": 20.834797688855875}, {""face"": 129, ""width"": 0.00853575290122039, ""aspectRatio"": 13.95075283870597}, {""face"": 141, ""width"": 0.005821415743794697, ""aspectRatio"": 70.13901721665472}, {""face"": 193, ""width"": 0.013815263498389666, ""aspectRatio"": 18.150977855111115}, {""face"": 195, ""width"": 0.014165655077674349, ""aspectRatio"": 18.485354679548376}, {""face"": 201, ""width"": 0.007574121707587209, ""aspectRatio"": 14.968998820930578}, {""face"": 202, ""width"": 0.007661616716810781, ""aspectRatio"": 14.798054131537377}, {""face"": 213, ""width"": 0.0045890481096277445, ""aspectRatio"": 14.091006104709361}, {""face"": 214, ""width"": 0.0045890481096277445, ""aspectRatio"": 20.55530941378662}, {""face"": 217, ""width"": 0.004654299477616358, ""aspectRatio"": 10.299997126355223}, {""face"": 218, ""width"": 0.004654299477616358, ""aspectRatio"": 16.798632273546765}, {""face"": 246, ""width"": 0.005321466089450967, ""aspectRatio"": 12.939696636258876}, {""face"": 266, ""width"": 0.0076690305339253, ""aspectRatio"": 13.791612177499625}, {""face"": 267, ""width"": 0.009321871262581966, ""aspectRatio"": 10.529043898978506}, {""face"": 275, ""width"": 0.01590038232479491, ""aspectRatio"": 11.416601453643644}, {""face"": 296, ""width"": 0.007052902904228204, ""aspectRatio"": 15.500954424892797}, {""face"": 300, ""width"": 0.004358876833868981, ""aspectRatio"": 36.60235704070458}, {""face"": 301, ""width"": 0.004358876833868981, ""aspectRatio"": 25.904896872621077}, {""face"": 342, ""width"": 0.0232671086027, ""aspectRatio"": 30.78643120616918}, {""face"": 346, ""width"": 0.00959692968061616, ""aspectRatio"": 20.204816232310076}, {""face"": 347, ""width"": 0.007322200082364753, ""aspectRatio"": 15.092719572864972}, {""face"": 350, ""width"": 0.010231777741847884, ""aspectRatio"": 10.130453014482034}, {""face"": 354, ""width"": 0.00974711101142914, ""aspectRatio"": 10.634181097032089}]","[""PaintIsland_002_A""]"
PaintIsland_003,leftFenders,large,1.18448188277398,6.9673089303039015,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 11, ""width"": 0.008217756966874984, ""aspectRatio"": 16.686513138514666}, {""face"": 22, ""width"": 0.005609436890515751, ""aspectRatio"": 12.473136171963032}, {""face"": 36, ""width"": 0.007963529974586018, ""aspectRatio"": 33.15722579438454}, {""face"": 37, ""width"": 0.02262617613527387, ""aspectRatio"": 11.93205070610782}, {""face"": 39, ""width"": 0.014381815218586818, ""aspectRatio"": 18.772086612717782}, {""face"": 61, ""width"": 0.005609436890515751, ""aspectRatio"": 11.000908504465686}, {""face"": 212, ""width"": 0.023589991671433358, ""aspectRatio"": 11.385062265436808}, {""face"": 213, ""width"": 0.009968164176870098, ""aspectRatio"": 26.2313366238584}, {""face"": 216, ""width"": 0.009596949108311405, ""aspectRatio"": 35.393518801622385}, {""face"": 217, ""width"": 0.0073222255454888936, ""aspectRatio"": 15.08526002338057}, {""face"": 220, ""width"": 0.010034697110636943, ""aspectRatio"": 10.32941428381926}, {""face"": 223, ""width"": 0.007313983814285379, ""aspectRatio"": 13.685244947731682}, {""face"": 246, ""width"": 0.05042357984340537, ""aspectRatio"": 13.520676780220214}, {""face"": 250, ""width"": 0.06020996763312512, ""aspectRatio"": 10.882987151910005}, {""face"": 251, ""width"": 0.06362289793140112, ""aspectRatio"": 10.558096651048322}, {""face"": 345, ""width"": 0.009321851212813313, ""aspectRatio"": 11.87053942706211}, {""face"": 349, ""width"": 0.014178465052018195, ""aspectRatio"": 17.62538946499946}, {""face"": 353, ""width"": 0.06395862866853444, ""aspectRatio"": 13.155225662859586}, {""face"": 368, ""width"": 0.06471387671720401, ""aspectRatio"": 10.740215794616114}, {""face"": 372, ""width"": 0.013802114932538547, ""aspectRatio"": 17.19406116617419}, {""face"": 437, ""width"": 0.008076602145665968, ""aspectRatio"": 10.364741854795026}]","[""PaintIsland_003_A""]"
PaintIsland_004,leftDoors,large,1.007632416778506,5.927052526496278,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 9, ""width"": 0.01060933674458771, ""aspectRatio"": 34.90149511819265}, {""face"": 12, ""width"": 0.011363642310758652, ""aspectRatio"": 10.338219938088631}, {""face"": 14, ""width"": 0.008521472858345633, ""aspectRatio"": 12.844387030292483}, {""face"": 54, ""width"": 0.006834879635271814, ""aspectRatio"": 14.15011817569698}, {""face"": 56, ""width"": 0.008669344153086548, ""aspectRatio"": 11.74809252810741}, {""face"": 70, ""width"": 0.016369247166079393, ""aspectRatio"": 22.651827630280277}, {""face"": 72, ""width"": 0.02410752910103907, ""aspectRatio"": 15.665604502292389}, {""face"": 158, ""width"": 0.00607562801907925, ""aspectRatio"": 21.90545809738426}, {""face"": 159, ""width"": 0.00607562801907925, ""aspectRatio"": 11.667796285426839}, {""face"": 160, ""width"": 0.006075542654571151, ""aspectRatio"": 21.905763432825548}, {""face"": 161, ""width"": 0.006075651932902186, ""aspectRatio"": 11.667750360871334}, {""face"": 162, ""width"": 0.006075651932902186, ""aspectRatio"": 10.043950734065309}, {""face"": 164, ""width"": 0.00607562801907925, ""aspectRatio"": 10.043990267305112}, {""face"": 168, ""width"": 0.00880789223458136, ""aspectRatio"": 17.654041696017977}, {""face"": 176, ""width"": 0.024389417845788186, ""aspectRatio"": 15.150739313272247}, {""face"": 180, ""width"": 0.023321566753917403, ""aspectRatio"": 13.788854689584516}, {""face"": 181, ""width"": 0.006075542654571151, ""aspectRatio"": 11.610496466775027}, {""face"": 191, ""width"": 0.007963529974586018, ""aspectRatio"": 48.50316157762316}, {""face"": 192, ""width"": 0.006085530097100366, ""aspectRatio"": 11.59145756726011}, {""face"": 195, ""width"": 0.014381815218586818, ""aspectRatio"": 53.676734306710465}, {""face"": 229, ""width"": 0.00607562801907925, ""aspectRatio"": 11.520607436300606}, {""face"": 230, ""width"": 0.005620374421291002, ""aspectRatio"": 12.453783340776585}, {""face"": 231, ""width"": 0.005620374421291002, ""aspectRatio"": 10.54737871769689}, {""face"": 232, ""width"": 0.005758519750723157, ""aspectRatio"": 10.29665273402647}, {""face"": 233, ""width"": 0.005758519750723157, ""aspectRatio"": 10.265576614573506}, {""face"": 239, ""width"": 0.005944730591599704, ""aspectRatio"": 10.160707094443605}, {""face"": 254, ""width"": 0.004535924388907439, ""aspectRatio"": 68.27336343854579}, {""face"": 264, ""width"": 0.03679250259273197, ""aspectRatio"": 10.837633844246442}, {""face"": 269, ""width"": 0.02368455076202959, ""aspectRatio"": 14.583350637784784}, {""face"": 304, ""width"": 0.006358075118259512, ""aspectRatio"": 16.199120677786386}, {""face"": 305, ""width"": 0.006655490206142197, ""aspectRatio"": 15.475227658522416}, {""face"": 311, ""width"": 0.008896684323436602, ""aspectRatio"": 11.447889299631337}]","[""PaintIsland_004_A""]"
PaintIsland_005,rightDoors,large,1.0067629444474733,5.921938153347346,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 4, ""width"": 0.00676372245455022, ""aspectRatio"": 14.298983920192285}, {""face"": 5, ""width"": 0.006646340570565453, ""aspectRatio"": 14.551520132232538}, {""face"": 34, ""width"": 0.009191022290319427, ""aspectRatio"": 11.558499774924073}, {""face"": 35, ""width"": 0.008971148784210105, ""aspectRatio"": 11.841850038396998}, {""face"": 44, ""width"": 0.008521472858345633, ""aspectRatio"": 12.83939169625131}, {""face"": 48, ""width"": 0.011143230987359148, ""aspectRatio"": 10.542708271924136}, {""face"": 50, ""width"": 0.01060933674458771, ""aspectRatio"": 34.89984702381785}, {""face"": 110, ""width"": 0.008896735539768155, ""aspectRatio"": 11.209017772827073}, {""face"": 111, ""width"": 0.007052758704819947, ""aspectRatio"": 14.139668030504298}, {""face"": 119, ""width"": 0.006358042503777928, ""aspectRatio"": 16.199203931805933}, {""face"": 160, ""width"": 0.004189176432832113, ""aspectRatio"": 12.38481294917823}, {""face"": 167, ""width"": 0.009360689387881546, ""aspectRatio"": 18.667673844088053}, {""face"": 198, ""width"": 0.03144506954766018, ""aspectRatio"": 10.66613786573631}, {""face"": 200, ""width"": 0.0044551536453785266, ""aspectRatio"": 107.01604469569622}, {""face"": 214, ""width"": 0.005944751513183902, ""aspectRatio"": 10.160673128752071}, {""face"": 219, ""width"": 0.005758519750723157, ""aspectRatio"": 10.270020069648961}, {""face"": 221, ""width"": 0.005758519750723157, ""aspectRatio"": 10.294348014862948}, {""face"": 224, ""width"": 0.00607562801907925, ""aspectRatio"": 11.598464437579048}, {""face"": 240, ""width"": 0.007180349749369734, ""aspectRatio"": 13.574192127214417}, {""face"": 262, ""width"": 0.00869727134377801, ""aspectRatio"": 11.204371434120768}, {""face"": 265, ""width"": 0.008069226374970814, ""aspectRatio"": 10.127533349519997}, {""face"": 266, ""width"": 0.0062717246908655004, ""aspectRatio"": 12.203403825912654}, {""face"": 267, ""width"": 0.006646309387753024, ""aspectRatio"": 10.964113509461503}, {""face"": 273, ""width"": 0.006075675809207395, ""aspectRatio"": 10.043911263158572}, {""face"": 274, ""width"": 0.006075675809207395, ""aspectRatio"": 11.667704508726246}, {""face"": 275, ""width"": 0.00607562801907925, ""aspectRatio"": 10.043990267305112}, {""face"": 276, ""width"": 0.00607562801907925, ""aspectRatio"": 11.667796285426839}, {""face"": 278, ""width"": 0.00607562801907925, ""aspectRatio"": 10.979112592923611}, {""face"": 281, ""width"": 0.005944639828554604, ""aspectRatio"": 11.777232830713572}, {""face"": 312, ""width"": 0.009131686733704899, ""aspectRatio"": 21.140739223348426}, {""face"": 314, ""width"": 0.008173601447210925, ""aspectRatio"": 10.80904898592336}, {""face"": 317, ""width"": 0.008978051896719632, ""aspectRatio"": 25.286978749951007}]","[""PaintIsland_005_A""]"
PaintIsland_006,roof,large,0.7412853186579014,4.360356959190314,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 0, ""width"": 0.004981025753841618, ""aspectRatio"": 24.06896112878727}, {""face"": 2, ""width"": 0.004680411157720973, ""aspectRatio"": 25.65936047358076}, {""face"": 3, ""width"": 0.004680411157720973, ""aspectRatio"": 25.543811144913228}, {""face"": 5, ""width"": 0.0050293843080239705, ""aspectRatio"": 23.841754419045238}, {""face"": 6, ""width"": 0.0050293843080239705, ""aspectRatio"": 23.785686658010487}, {""face"": 8, ""width"": 0.005241586268761291, ""aspectRatio"": 22.878836727840138}, {""face"": 9, ""width"": 0.005241586268761291, ""aspectRatio"": 22.95985425981408}, {""face"": 11, ""width"": 0.005089180242633752, ""aspectRatio"": 23.659777543698596}, {""face"": 12, ""width"": 0.005089180242633752, ""aspectRatio"": 23.466318941986913}, {""face"": 14, ""width"": 0.005423049189642824, ""aspectRatio"": 22.13337630197584}, {""face"": 27, ""width"": 0.0036982072239379066, ""aspectRatio"": 58.71835107223751}, {""face"": 30, ""width"": 0.004427919761635121, ""aspectRatio"": 24.565070090562852}, {""face"": 31, ""width"": 0.004427919761635121, ""aspectRatio"": 24.51071924370973}, {""face"": 33, ""width"": 0.004549252106611719, ""aspectRatio"": 23.919032396715057}, {""face"": 34, ""width"": 0.004549252106611719, ""aspectRatio"": 23.92489200117264}, {""face"": 36, ""width"": 0.0044279338571874185, ""aspectRatio"": 24.53955803893187}, {""face"": 37, ""width"": 0.0044279338571874185, ""aspectRatio"": 24.869168439833253}, {""face"": 39, ""width"": 0.012220761207087713, ""aspectRatio"": 18.98378365489324}, {""face"": 40, ""width"": 0.0044278636999187885, ""aspectRatio"": 27.659650605181028}, {""face"": 41, ""width"": 0.012387995088151823, ""aspectRatio"": 18.91994290042848}, {""face"": 42, ""width"": 0.01607086506170741, ""aspectRatio"": 14.584165744573792}, {""face"": 43, ""width"": 0.014991519770743977, ""aspectRatio"": 15.593772306558435}, {""face"": 46, ""width"": 0.009888922029688418, ""aspectRatio"": 10.88105821565451}, {""face"": 47, ""width"": 0.009968191252285532, ""aspectRatio"": 13.173052423408139}, {""face"": 48, ""width"": 0.011833299756712075, ""aspectRatio"": 10.679104381715364}, {""face"": 49, ""width"": 0.01184862984131871, ""aspectRatio"": 10.659264535431545}, {""face"": 51, ""width"": 0.009367239056831896, ""aspectRatio"": 13.52402590304863}, {""face"": 52, ""width"": 0.009367183907763085, ""aspectRatio"": 13.5241055254242}, {""face"": 53, ""width"": 0.009367183907763085, ""aspectRatio"": 11.382581412707092}, {""face"": 55, ""width"": 0.009367183907763085, ""aspectRatio"": 11.382581412707092}, {""face"": 56, ""width"": 0.009367183907763085, ""aspectRatio"": 11.332492172668823}, {""face"": 57, ""width"": 0.00994981206399249, ""aspectRatio"": 10.66460098137452}]","[""PaintIsland_006_A""]"
PaintIsland_007,roof,large,0.7411546457497025,4.359588320569932,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 10, ""width"": 0.009243582461106157, ""aspectRatio"": 16.32137478591798}, {""face"": 13, ""width"": 0.009367128369992421, ""aspectRatio"": 17.300761734298526}, {""face"": 21, ""width"": 0.006975132616362384, ""aspectRatio"": 22.27348628640435}, {""face"": 29, ""width"": 0.009367239056831896, ""aspectRatio"": 10.82745919815418}, {""face"": 30, ""width"": 0.009367239056831896, ""aspectRatio"": 10.82745919815418}, {""face"": 31, ""width"": 0.00852846280491851, ""aspectRatio"": 12.405128592848671}, {""face"": 32, ""width"": 0.009367239056831896, ""aspectRatio"": 11.195075552707449}, {""face"": 33, ""width"": 0.009691116589007927, ""aspectRatio"": 10.820935647441251}, {""face"": 35, ""width"": 0.009691116589007927, ""aspectRatio"": 10.884418079003545}, {""face"": 36, ""width"": 0.009367239056831896, ""aspectRatio"": 11.26075292486496}, {""face"": 37, ""width"": 0.008421346366860682, ""aspectRatio"": 12.30876346500593}, {""face"": 38, ""width"": 0.009367239056831896, ""aspectRatio"": 10.088332845051118}, {""face"": 45, ""width"": 0.00969107379409406, ""aspectRatio"": 56.159306621318954}, {""face"": 46, ""width"": 0.009367239056831896, ""aspectRatio"": 58.10078950589166}, {""face"": 47, ""width"": 0.012181008054650878, ""aspectRatio"": 45.669759537503445}, {""face"": 48, ""width"": 0.009367239056831896, ""aspectRatio"": 31.77820976939444}, {""face"": 49, ""width"": 0.00936728333120147, ""aspectRatio"": 31.77805957000856}, {""face"": 60, ""width"": 0.009367239056831896, ""aspectRatio"": 11.34925734902186}, {""face"": 61, ""width"": 0.009367239056831896, ""aspectRatio"": 11.34925734902186}, {""face"": 62, ""width"": 0.00839284201731567, ""aspectRatio"": 13.163129518152907}, {""face"": 63, ""width"": 0.009367239056831896, ""aspectRatio"": 11.335973089184144}, {""face"": 64, ""width"": 0.009367239056831896, ""aspectRatio"": 11.335973089184144}, {""face"": 65, ""width"": 0.00839284201731567, ""aspectRatio"": 12.65206346659714}, {""face"": 66, ""width"": 0.009367239056831896, ""aspectRatio"": 11.357165570523096}, {""face"": 67, ""width"": 0.009243654237802237, ""aspectRatio"": 11.528625233564224}, {""face"": 68, ""width"": 0.0099498183140282, ""aspectRatio"": 11.40363631797414}, {""face"": 69, ""width"": 0.009243654237802237, ""aspectRatio"": 11.489674526978439}, {""face"": 70, ""width"": 0.00969107379409406, ""aspectRatio"": 10.949329552707566}, {""face"": 71, ""width"": 0.0099498183140282, ""aspectRatio"": 10.664592793773819}, {""face"": 72, ""width"": 0.00969107379409406, ""aspectRatio"": 11.002159722299952}, {""face"": 73, ""width"": 0.009367128369992421, ""aspectRatio"": 11.382649788891971}, {""face"": 75, ""width"": 0.009367128369992421, ""aspectRatio"": 13.524185709941957}]","[""PaintIsland_007_A""]"
PaintIsland_008,leftFenders,large,0.6757971977276611,3.975145520820724,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 7, ""width"": 0.01681798435239691, ""aspectRatio"": 29.393884154874343}, {""face"": 9, ""width"": 0.0077322254506564155, ""aspectRatio"": 16.602137890181893}, {""face"": 10, ""width"": 0.007461393200894268, ""aspectRatio"": 16.905604631680827}, {""face"": 17, ""width"": 0.006085499384634918, ""aspectRatio"": 10.030473222134079}, {""face"": 30, ""width"": 0.006085499384634918, ""aspectRatio"": 11.358541024143463}, {""face"": 31, ""width"": 0.006085499384634918, ""aspectRatio"": 11.358541024143463}, {""face"": 35, ""width"": 0.05919127652210751, ""aspectRatio"": 12.920997922553248}, {""face"": 36, ""width"": 0.06888562221968525, ""aspectRatio"": 11.116161079856518}, {""face"": 37, ""width"": 0.058909494319350844, ""aspectRatio"": 12.9828030237258}, {""face"": 39, ""width"": 0.05577522532757684, ""aspectRatio"": 13.670908407877304}, {""face"": 40, ""width"": 0.055881457277024045, ""aspectRatio"": 13.644919693164953}, {""face"": 44, ""width"": 0.06140514088688731, ""aspectRatio"": 12.333773003031993}, {""face"": 47, ""width"": 0.016785568022166866, ""aspectRatio"": 29.556254682241438}, {""face"": 54, ""width"": 0.005758519750723157, ""aspectRatio"": 10.354790230692146}, {""face"": 68, ""width"": 0.04167710307978683, ""aspectRatio"": 17.805502219639113}, {""face"": 69, ""width"": 0.051433466330022985, ""aspectRatio"": 14.50179030047369}, {""face"": 87, ""width"": 0.005758519750723157, ""aspectRatio"": 10.331494029363064}, {""face"": 88, ""width"": 0.005769149503824803, ""aspectRatio"": 10.312458081234064}, {""face"": 89, ""width"": 0.005769149503824803, ""aspectRatio"": 10.315282731349818}, {""face"": 91, ""width"": 0.005758519750723157, ""aspectRatio"": 10.334323893550252}, {""face"": 92, ""width"": 0.005758519750723157, ""aspectRatio"": 10.246370634189823}, {""face"": 95, ""width"": 0.005944751513183902, ""aspectRatio"": 11.78368700865987}, {""face"": 97, ""width"": 0.005758519750723157, ""aspectRatio"": 12.164773971092}, {""face"": 102, ""width"": 0.007437036196516824, ""aspectRatio"": 17.261043012422615}, {""face"": 110, ""width"": 0.0075420615657139775, ""aspectRatio"": 16.770643482906625}]","[""PaintIsland_008_A""]"
PaintIsland_009,rightFenders,large,0.6750546651283003,3.9707778271600556,include-primary,"Classified exterior panel, retained after bridge review.",local-cleanup,"[{""face"": 4, ""width"": 0.05617955116145274, ""aspectRatio"": 13.46131107729339}, {""face"": 7, ""width"": 0.006075675809207395, ""aspectRatio"": 11.53246248674014}, {""face"": 8, ""width"": 0.005758519750723157, ""aspectRatio"": 10.246370634189823}, {""face"": 9, ""width"": 0.005758519750723157, ""aspectRatio"": 10.334323893550252}, {""face"": 11, ""width"": 0.0057691243195067965, ""aspectRatio"": 10.315327761296523}, {""face"": 13, ""width"": 0.0057691243195067965, ""aspectRatio"": 10.312503098850147}, {""face"": 14, ""width"": 0.005620263734625818, ""aspectRatio"": 10.592698344033856}, {""face"": 16, ""width"": 0.005620263734625818, ""aspectRatio"": 10.609513516362735}, {""face"": 21, ""width"": 0.005029409020358995, ""aspectRatio"": 72.57136616388031}, {""face"": 31, ""width"": 0.05143342445681311, ""aspectRatio"": 14.50180205363117}, {""face"": 41, ""width"": 0.004680326962009863, ""aspectRatio"": 78.57552810209235}, {""face"": 43, ""width"": 0.004628363215569739, ""aspectRatio"": 78.69828655210877}, {""face"": 50, ""width"": 0.005914028943508464, ""aspectRatio"": 10.003956890486059}, {""face"": 51, ""width"": 0.05916369059994548, ""aspectRatio"": 12.61139461567604}, {""face"": 58, ""width"": 0.005914028943508464, ""aspectRatio"": 11.685944459937557}, {""face"": 59, ""width"": 0.006085530097100366, ""aspectRatio"": 11.356613584284649}, {""face"": 64, ""width"": 0.061685386996402324, ""aspectRatio"": 12.102937570288038}, {""face"": 81, ""width"": 0.007566080476116399, ""aspectRatio"": 16.96664502555126}, {""face"": 85, ""width"": 0.007461393200894268, ""aspectRatio"": 16.905604631680827}, {""face"": 94, ""width"": 0.007437078020478031, ""aspectRatio"": 17.260945941342904}, {""face"": 96, ""width"": 0.01681799051736739, ""aspectRatio"": 29.52251174368161}, {""face"": 99, ""width"": 0.007542102807267744, ""aspectRatio"": 16.770552104115552}, {""face"": 105, ""width"": 0.005758519750723157, ""aspectRatio"": 12.167624039577136}]","[""PaintIsland_009_A""]"
